CBG10375.1	708,987	795,1032
CBG23560.1	3886,4083	3931,4155
CBG23561.1	6636,6780	6683,6888
CBG23562.1	8880,9068	8939,9738
CBG23575.1	3320,3734,3855	3529,3775,3972
CBG23576.1	4351,5448,6208	4914,5991,6271
CBG23578.1	15399,17808,18783,19923,21459,22084	17443,17809,19549,21266,21782,22751
CBG23579.1	24531,25230,25614,25846	25093,25494,25664,26663
CBG23580.1	28011,29042,29244	28798,29095,29690
CBG23582.1	32748,33634,33741,34842,36190,37955	33570,33681,34437,35995,37686,38813
CBG23583a.1	40910,41564,41790,41958,43032,43222,44332,44535	41504,41610,41831,42815,43126,44215,44376,45048
CBG23583b.1	40910,41564,41790,41958,43032,43222,44332,44535	41504,41610,41831,42815,43126,44215,44382,45048
CBG23584.1	45495,45680,45977,46187	45539,45763,46024,47700
CBG23585.1	48185,49357,50787	49149,50429,52969
CBG31219.1	7487,8288,8649,9200,9534,10795	8104,8461,9077,9332,10591,11212
CBG23632.1	3381,4562	4288,5207
CBG23633.1	6301,6994,8565	6641,8413,8759
CBG23640.1	405,712,1552	450,758,1597
CBG23641.1	4802,5004,5315,5427	4865,5047,5360,5471
CBG23643.1	11048	11089
CBG23649.1	12429,12652,12945,13129,13990	12473,12812,12986,13775,15300
CBG23650.1	19831,20372,20981,21637	20269,20742,21347,21693
CBG23651.1	25348	25452
CBG26645.1	1349,1457,1594,1707	1393,1536,1637,4591
CBG23653.1	524	761
CBG23654.1	1253	2082
CBG23655.1	3209,3790	3361,4027
CBG29763.1	4506,5229	5065,5278
CBG23658.1	3603,3797,3994	3648,3841,4040
CBG23659a.1	370,1916,2480,3133,3734,4272,4402,5232,5906,6269	1736,2370,3051,3456,4174,4273,4906,5805,6109,7196
CBG23659b.1	370,1916,2480,3133,3734,4272,4402,5232,5906,6224	1736,2370,3051,3456,4174,4273,4906,5805,6109,7196
CBG23661.1	10940,11685,11821,12406	11512,11737,12150,12453
CBG23663.1	18229,18358	18274,19739
CBG23667.1	20381,20783,22267,29307,29885	20583,21993,28925,29698,30941
CBG23668a.1	31971,33556,34905,35817	33306,34677,35549,36484
CBG23668b.1	33997,34905,35817	34677,35549,36484
CBG26649.1	8727	9263
CBG23671.1	4289,4463,4808	4331,4504,4850
CBG23672.1	7623,8224,10524	8028,10397,10566
CBG23676.1	27513,28088,28490,28995,29289	27577,28146,28812,29026,29850
CBG26652.1	15812	15854
CBG26653.1	18456,19705,22242	19267,21715,24087
CBG23710.1	5202,5447,5995	5249,5778,6046
CBG23714.1	19179,19387,19603,19970,20132	19226,19431,19652,20017,20174
CBG23720.1	10299,10463	10346,11567
CBG23721.1	12794,12961,14269,16106,16632,17964,19907,21333	12840,13007,15764,16418,16969,18670,20556,22211
CBG23722.1	23826,24300,24654	24086,24527,25026
CBG29764.1	4405,6852	5869,9392
CBG29764.2	4405,6017,6852	5869,6073,9392
CBG23753.1	7832	8042
CBG23754.1	10667,11429,12112,13789,14584	10783,11472,12162,14294,14648
CBG23755.1	16046,16534	16093,16582
CBG23756.1	17277,17578,17907,19417,19665	17322,17621,18534,19460,19975
CBG23758a.1	33144,33395,35727,35903,36202	33285,35406,35779,35951,39793
CBG23758b.1	33144,33395,35727,35903,36202	33285,35406,35779,35951,36790
CBG23760.1	44363,44603,44776,45429,45513	44488,44647,45303,45478,45514
CBG23761.1	49702	49750
CBG23767.1	68500,68647	68544,68688
CBG23770.1	195,418	242,468
CBG23773a.1	7153,7390,8056,9048	7278,7459,8932,9273
CBG23773b.1	7153,7390,8056,9048	7278,7459,8923,9267
CBG23773c.1	7153,7390,8056,9048	7278,7459,8923,9273
CBG23773d.1	7153,7390,8056,9048	7278,7459,8932,9267
CBG23780.1	8443,9092,9509,9706,9857,10006,10991	8998,9135,9556,9748,9899,10881,11040
CBG26660.1	7366	7591
CBG29765.1	177,718,847	536,764,5659
CBG23781a.1	1871,2161	1958,2209
CBG23781b.1	1871,2161	1946,2209
CBG23782.1	1133,1356	1182,1424
CBG23783.1	1928,2411,3645,4781	2187,3062,4582,5910
CBG23784.1	6378,7371,7686,8052	7247,7590,7958,8096
CBG23785.1	13354,13432,13741,13822,13980,14063	13395,13602,13782,13921,14026,14107
CBG23786.1	16628,17369,20149	17020,20003,20197
CBG29766.1	22691	22734
CBG23789.1	274,1028,1665,1818,1973	873,1543,1715,1863,2020
CBG23790.1	7374,7638	7415,8527
CBG23791.1	10130,10290,10452	10175,10342,10947
CBG23803.1	4944,5282	4987,5329
CBG23804.1	6525	6579
CBG23805.1	834,1122,1328,1616,1960,2138	876,1165,1394,1661,2005,2177
CBG23806.1	6346,7122,7528,8030	6395,7171,7582,8229
CBG23824.1	8292,8650,8965,9457,9838,9955,10124	8502,8827,9284,9758,9884,10011,10437
CBG23825.1	10942,11498,11655,11845,12303	11291,11540,11713,12119,12603
CBG23826.1	16508,16918,17671,17820,18551	16772,17447,17719,18249,19110
CBG23827.1	26069,26424,26823,28391	26280,26699,28193,29942
CBG26663.1	924,1112,1802,2196,2524,4016	971,1730,1976,2332,3744,4156
CBG31206.1	24508,24744	24560,25013
CBG23828.1	841,2037,2635	1657,2228,3026
CBG23830.1	1466,1923,2119,2316	1519,1970,2163,2367
CBG23831.1	556,944,2093	867,1875,2237
CBG23836.1	2183,2349	2228,2390
CBG30920.1	702,1059,1659	745,1540,1703
CBG23858.1	1383,1569	1424,1616
CBG23859.1	4351,4577,4879,5039,5393,5569,5876,6182,6440,6583,6908,7086,7248,7555,7690	4500,4779,4926,5158,5447,5789,6053,6382,6502,6825,6956,7132,7295,7602,7817
CBG23860.1	11925	11970
CBG23863.1	28740,29084,29738	28793,29127,29780
CBG23864.1	34119,35017	34164,35133
CBG23865a.1	39189,40087	39234,40201
CBG23865b.1	39189,40087	39234,40201
CBG23866.1	43262,43484,43769	43366,43531,43990
CBG23867.1	45425,45737,46676	45535,45902,46749
CBG26666.1	19868,20134,20248,20623,20683,20994,21042	19960,20134,20510,20623,20845,20994,21566
CBG26667.1	24482,25095,25781	24531,25137,25820
CBG29767.1	23363,23478,23614	23408,23529,23660
CBG23869.1	1294	1750
CBG23870.1	2788,3237,3346,3488	3163,3289,3391,3547
CBG23920.1	761	1441
CBG23946.1	794,2108,2702,4100,5526,7697,9421,9523	1853,2518,3744,5235,7475,9281,9422,13779
CBG23947.1	11429,11592,12675	11474,12444,16047
CBG23950.1	1701,2561	2230,3705
CBG23951.1	4869,5571,5694,6093,6281,6616,7550	5454,5612,5998,6157,6515,7347,10993
CBG23953.1	19644	20248
CBG23965.1	9197,9363,9485	9244,9407,10234
CBG23965.2	9197,9363	9244,9407
CBG23967.1	16319,16481,17041	16417,16977,17629
CBG23970.1	24959,25088,25265	25003,25138,26223
CBG26671.1	2749	4720
CBG26672.1	13755	13802
CBG26673.1	20610,20899,21172	20850,20951,21219
CBG23992.1	2262,2465,2841	2315,2509,2885
CBG24005.1	3533	5363
CBG24006.1	7289,7889	7757,8220
CBG24009.1	6095,6448,6683	6155,6497,6729
CBG24013.1	16185,16282,16659,16877,17059,17263	16234,16515,16744,16917,17104,17422
CBG24015.1	19479,20612,20744	20365,20663,22377
CBG24016.1	24006,24251,24441,24622,24833,24949	24092,24296,24489,24686,24901,25002
CBG24017.1	26642,26899,27092,27272,27493,28146	26740,26944,27139,27349,28098,28199
CBG26678a.1	11243,11401	11286,11445
CBG26678b.1	11243	11286
CBG29768.1	13080,13235,13300	13215,13236,13352
CBG31050.1	10216,10757	10684,10808
CBG24018.1	436,1771	1514,1895
CBG24024.1	14981,16314	15885,16682
CBG24030.1	884,1043,1143,1278,1469,1593,1853,2202	926,1087,1189,1340,1526,1647,2003,2246
CBG24031a.1	2798,2966,3177,3470,3609,3774,7789,8141,8686,8931	2845,3059,3392,3520,3653,7572,7837,8255,8745,8979
CBG24031b.1	2798,2966	2845,3059
CBG24032.1	9272,9459,9611,9774,9955,10120,10379	9312,9500,9655,9885,10001,10163,10423
CBG26680.1	94	138
CBG24038.1	635,1416,1639,2046,2351,2564	683,1467,1681,2093,2434,2624
CBG24039a.1	3646,3893,4734,5120,5242,6328,6481,6783,7010,7135,7255	3693,3936,4783,5164,5475,6371,6528,6828,7052,7210,7845
CBG24039a.2	3646,3893,4734,5120,5242,6328,6481,6783,7010,7135	3693,3936,4783,5164,5475,6371,6528,6828,7052,7210
CBG24039b.1	3646,3893,4734,5120,5242,6328,6481,6783,7010,7135,7982	3693,3936,4783,5164,5475,6371,6528,6828,7052,7845,7983
CBG24040.1	8698,9199,9329,9939,10178,10337	9075,9244,9650,9982,10223,10380
CBG24041a.1	12220,12350,12461,13480,14559,15200	12262,12402,13312,13531,15019,15973
CBG24041b.1	12062,12220,12350,12461,13480,14559,15200	12119,12262,12402,13312,13531,15019,15973
CBG24042.1	16399	16456
CBG24043.1	19106,19380,19586,19717	19149,19427,19631,19762
CBG24044.1	20546,21003,21644	20609,21048,21687
CBG24045.1	22359,22786,23899,24035,24561,25538,25729	22360,22990,23944,24082,24605,25583,26811
CBG24046.1	27625,28069,29410	27856,29225,29456
CBG24047.1	34478,34641	34523,34688
CBG24068.1	2038	2067
CBG26683.1	7580,8037,9082	7628,8937,9128
CBG24081.1	1492	1811
CBG24084.1	5987,7097,7126,7787,7999,8233,11724,12662	6862,7097,7651,7902,8049,9450,12278,13095
CBG24085.1	14857,14949,15711,16467,16702,17549,18894,19833	14858,15497,16318,16588,17317,18521,19741,19959
CBG24086.1	18,162,900,1778	68,470,1702,2032
CBG24087.1	7157,7555,8652,9990,10659,10865,11413,11555	7369,8485,9653,10579,10707,11284,11460,12602
CBG24089.1	256,425,645,1829,2075	309,468,1769,1892,2119
CBG24091.1	8005,8456,9358,9532	8071,9111,9409,9762
CBG26684.1	735,2037,2424,3086,3245,3400,3889,4280	1978,2101,3004,3160,3339,3819,3976,4401
CBG24112.1	16106,16263,16380,16850	16152,16310,16434,16895
CBG24113.1	19156,19340,19772,19968,20171	19208,19392,19819,20018,20222
CBG24114.1	21291	23073
CBG24117.1	30130,30325,30723	30173,30370,30769
CBG24121.1	2413,2608,5398,5585	2460,5267,5441,5634
CBG24123.1	1732,2163,2298	2110,2223,2375
CBG24124.1	4507	4552
CBG24127.1	12185,12345	12261,12386
CBG24129.1	14229,15204	15119,17425
CBG24183.1	559,744,1125	689,1064,1171
CBG24185.1	4222,4691,5048,5174	4480,4740,5098,5228
CBG24185.2	4222,4691,5048,5174,5441	4480,4740,5098,5228,5491
CBG24186.1	6408,6810	6567,6948
CBG24187.1	11297,11735,12008,12105,12232,12852	11337,11781,12086,12207,12518,12903
CBG24188.1	14941	14985
CBG24189a.1	15537,16258	15588,16307
CBG24189b.1	15549,16258	15588,16307
CBG24190.1	16966,17320,18002	17015,17365,18047
CBG24191.1	18974,19621	19027,19669
CBG24192.1	22557,22703,22799,23077	22608,22744,22840,23128
CBG24193.1	24241,24738	24291,31917
CBG24194.1	33512,33650,33778	33560,33693,33835
CBG24195.1	34593,34820,34960	34647,34867,35008
CBG24196.1	35735,35987,36480,36973	35778,36413,36524,37629
CBG24197.1	39217	39260
CBG24198.1	40772	40975
CBG24199a.1	43007,43367,43540,43700,43859,44073,44283,44622	43176,43418,43584,43772,43965,44180,44322,46079
CBG24199b.1	43007,43367,43540,43700,43859,44073,44283,44622	43176,43418,43584,43772,43965,44180,44322,44844
CBG29769.1	21408,21791	21496,21953
CBG24205.1	3213,3405,3663	3259,3450,3723
CBG24206.1	6057,6249,6522	6103,6294,6565
CBG24207.1	8099,8291,8564	8145,8336,8606
CBG24210.1	17279,17971,18206	17742,18020,18419
CBG24212.1	21306,21546,22170	21350,21998,22211
CBG24213.1	23194,23315,24346,24688	23240,24195,24456,24741
CBG24214.1	30118,30644,31021	30118,30693,31177
CBG31200.1	26934,27309,27819,28098	26981,27372,27980,29095
CBG24226.1	6772,6976,7169,7608	6823,7020,7216,7661
CBG24228.1	11940,12318,12597,13010	12156,12430,12787,13125
CBG24230.1	24594,25496,25594	25300,25497,26037
CBG24231.1	32512,33158,34419,36206,37324,37509	32773,33661,35003,37194,37415,37587
CBG24233.1	40085,40568,41078,41492	40399,40689,41351,41913
CBG31199.1	19154,21059,21300,21832,22386,23292,23650	20932,21161,21462,22218,22954,23514,23699
CBG24242.1	1428,4378,6845,7007,7343,7481,8090,8477,8815,9007,9251,9593,9829,9994,10158,10336	1575,4379,6888,7117,7388,7974,8294,8526,8888,9068,9298,9655,9872,10036,10207,10386
CBG24249.1	261,750,947	307,795,990
CBG24250.1	2495,2903,3100	2541,2948,3143
CBG24254.1	3504,4330,4360	3618,4331,4409
CBG24256.1	8741,8926,9200,9363,9505,9798,10678,10889,11559,13508	8784,9122,9244,9432,9568,10520,10782,11375,13373,13553
CBG24259.1	19506,19772,20961,21242,21412,21561,21700	19554,20847,21007,21295,21470,21611,21745
CBG24260.1	22362,22624,23216,23495,23656,24125,24264	22406,23102,23260,23539,24034,24175,24851
CBG24261.1	25272,25648,25786	25489,25698,25866
CBG24262a.1	26604,26853,27043	26702,26901,27087
CBG24262b.1	26601,26853,27043	26700,26901,27087
CBG24263.1	28001,28285,28576,28997,30570,31747,32658,33229,34007	28045,28376,28845,30005,31579,32320,32984,33734,34597
CBG24264.1	35654,36762,37009,38384,39216	36222,36858,37159,39084,39267
CBG24265.1	41169,42287,42610,44288,45156,45730,46583,47712	42069,42446,44191,44961,45533,46376,47578,47977
CBG24266.1	49813	50157
CBG26699.1	17690	17982
CBG24276.1	285,477,709,1479,1601,1715,1949,2590,3804,4053,4289	339,591,847,1525,1645,1760,2379,3363,3846,4100,4337
CBG24299.1	3075	3133
CBG24302.1	11983,12538,12931,13277,14855,15035	12315,12783,13151,14718,14899,15101
CBG24304.1	22808	23325
CBG24305.1	26156,26656	26389,26708
CBG24305.2	26156	26389
CBG24306.1	29117,29680	29360,29731
CBG24307.1	32763,32922,33133,34144,34403	32810,32967,33179,34186,34451
CBG24308.1	37487,37709,37860,38003,38903,39158	37597,37753,37904,38049,38950,39207
CBG24310.1	41513	41729
CBG24312.1	43603	43648
CBG26703.1	10307,10524	10354,10566
CBG26703.2	10307,10524,10659	10354,10566,10712
CBG26704.1	17739,18450,19440,19702,20222,20457,20782,20999	18153,19278,19483,19946,20276,20636,20827,21142
CBG24326.1	409,919,1258	449,1149,1322
CBG24327a.1	4075,4480,4749	4115,4640,4813
CBG24327b.1	4075,4480,4751	4115,4640,4815
CBG24330a.1	8801,9140,9215,9913	9061,9141,9814,10090
CBG24330b.1	8801,9140,9215	9061,9141,9814
CBG29770.1	13909,14098	13955,14700
CBG29771.1	5665	6221
CBG24333.1	2256	6770
CBG26706.1	13148,15161,15404,15515,19491,19608,19907	14585,15364,15451,19451,19544,19819,20415
CBG29772.1	23928,24106	24006,24341
CBG24338.1	1684,2118,2343,2741,5108,6990,7306,7573,10339,10697,11150,11906	1732,2164,2384,2794,5280,7038,7350,7832,10385,11058,11193,12025
CBG24339.1	14432,15020,15585,15867,16089,16390,16566,16725,16940,17117	14480,15346,15626,16007,16329,16445,16609,16767,16993,17160
CBG24340.1	17672,17856,18270,18645,19059,19374	17713,17900,18548,18688,19103,19418
CBG24341.1	19611,19898,20043	19655,19943,20122
CBG24342.1	20570	21654
CBG24343.1	403,901,1031	792,947,1076
CBG24356.1	24454	24513
CBG26709.1	8443	8502
CBG26710.1	10110,10629,10816,10923,11062,15030,15154,15283,15955	10555,10713,10862,10992,14948,15072,15207,15873,15997
CBG29773.1	18383,19721,19879,19966	19636,19797,19935,20022
CBG24359.1	5731,6003,6186,6677,8293,8453	5783,6046,6418,8154,8341,8506
CBG24360.1	9378,9563,10437,11245,11405	9424,9605,10891,11292,12006
CBG24361.1	12793,13239,14370,14502	12998,14191,14371,23801
CBG24362.1	19827,20004,21069	19874,20729,22435
CBG24363.1	25413,26136,26422,26546,26750,26914	25742,26325,26472,26654,26799,27140
CBG24365.1	29923,30747	29969,30790
CBG24367.1	33028,33849,34030	33070,33895,34072
CBG24390.1	407,569	455,1368
CBG24392.1	4438,5502,5725,5896,6009,6120	5266,5548,5770,5897,6054,8312
CBG24393.1	9816,10152,10311,11211,11347	9949,10224,10807,11262,11348
CBG24395.1	1774	1937
CBG24396.1	2475,2895,3122,3241,3513,3627	2849,2977,3166,3428,3569,3670
CBG24397.1	4109,4482,4749,4961	4439,4580,4812,5040
CBG24412.1	2103,2379	2146,2426
CBG24440.1	3166,3688,3970	3210,3733,4016
CBG24442.1	2321,2571	2372,2829
CBG24444.1	4975,5214,5864	5034,5261,5910
CBG24445.1	8636,9288,9515	8682,9335,9572
CBG24449a.1	3884,4088,4281,4723,4902,5747,5940,6391,6552,6898	3935,4132,4328,4776,5594,5791,5987,6444,6620,6951
CBG24449b.1	3884,4088,4281,4723,4902,5747,5940,6391,6552,6874,6898	3935,4132,4328,4776,5594,5791,5987,6444,6620,6876,6951
CBG24449c.1	3884,4088,4281,6391,6552,6874,6898	3935,4132,5987,6444,6620,6876,6951
CBG24449d.1	4810,5747,5940,6391,6552,6898	4830,5791,5987,6444,6620,6951
CBG24449e.1	3884,4088,4281,4723,4902,5747,5940,6368	3935,4132,4328,4776,5594,5791,5987,6443
CBG24449e.2	3884,4088,4281,4723,5747,5940,6368	3935,4132,4328,4776,5791,5987,6443
CBG24458.1	4289,4616,4956,5825,6224,6412	4438,4656,5457,6155,6269,6458
CBG24459.1	6832,7679,8046	6905,7844,8156
CBG24460.1	9591,10050	9812,10097
CBG26716.1	2019,2817	2126,3434
CBG29774.1	11628	11742
CBG24462.1	926,1163,2309	980,2149,2357
CBG24463.1	2979	3245
CBG29775.1	4060	5912
CBG31074.1	1139	1183
CBG24474.1	1499,2020,3179,3359,4717,5100,5256,5373	1920,3001,3226,4503,4995,5143,5307,5518
CBG24475.1	3169,3574,4218	3261,3863,4878
CBG24505.1	8652,8853,8988,9896	8756,8899,9717,12010
CBG24504.1	261,1093,1332,1723,2516,2942,3354	960,1241,1575,2365,2826,3132,6754
CBG24506.1	12011	12131
CBG29776.1	11278	11321
CBG24515.1	420,589,1300,1754,2122,2467,3832	462,1182,1639,2050,2313,3554,5317
CBG24516.1	7686,9232,10370,12022	8857,10222,11816,12503
CBG24517.1	12987,14011,15209,15909	13842,15037,15803,16095
CBG24518.1	17509,18615,18649,19402,19540,20255,21758,23478	18414,18616,19317,19446,19935,21225,23264,23841
CBG24520.1	27938,29910,30085,30792,32588,32931,34361,36095	29699,29987,30636,32317,32764,34257,35937,36361
CBG24522.1	42090,42759,43812	42639,43505,44057
CBG24525.1	49263,50283	49579,50760
CBG24526.1	52258	52936
CBG29777.1	37821,38126	38024,38881
CBG24533.1	1135,2573	2457,4706
CBG24539a.1	619,822,976,1108,1390,1498	664,868,1065,1309,1436,1545
CBG24539b.1	619,822,976,1390,1498	664,868,1309,1436,1545
CBG24540.1	2983	3185
CBG24542.1	3926	3968
CBG31193.1	510,630,1207,1382	556,678,1253,1425
CBG24545.1	10555,10671	10601,10719
CBG24546.1	14840,15097,15250	14885,15169,15321
CBG24548.1	399,501,600,736,1957,2065,2176,2284,2942,3149,3557,3667,3773,5004	446,545,648,1887,2007,2124,2223,2824,3031,3466,3600,3712,4937,5051
CBG31192.1	6074	7594
CBG24549.1	3096,3844,4000	3690,3894,4046
CBG24550.1	7315,7684,7761,7885	7357,7745,7761,7933
CBG30955.1	5414,5559	5460,6125
CBG29778.1	4834,4920	4880,4965
CBG24562.1	566,959,1165,1581,1934,2189,2574,2765	846,1006,1213,1625,2027,2190,2617,2806
CBG24563.1	4134	4178
CBG24564.1	4801,5683,6179,6399	4858,5728,6224,6595
CBG24565.1	1526,1784,2647,3022,3180,3434,3660,3806	1571,1830,2692,3063,3228,3486,3700,3846
CBG24566.1	7179,8046,8261	7224,8091,8307
CBG24567.1	8980,9202,9341,9444,9747,9924,10211	9122,9245,9382,9489,9790,9979,11082
CBG24569.1	12129,12635	12555,13074
CBG29779.1	6048,6619	6459,6675
CBG31191.1	865	910
CBG24571.1	5451,5622,6019,6545	5499,5666,6068,8828
CBG24572.1	9733,9908,10715,10931,11506	9777,9953,10788,10974,11549
CBG26720.1	3020,3342	3065,3386
CBG29780.1	462	508
CBG29781.1	12464,14193	14018,14354
CBG24623.1	864	883
CBG24641a.1	3722,5230,5568,6381,7290,7606,8451,13277	5112,5387,6214,7147,7502,8046,13181,13424
CBG24641b.1	3722,5230,5568,6381,7290,7606,8451,11688,13277	5112,5387,6214,7147,7502,8046,11270,13181,13424
CBG24644.1	6070,6264,6566,6759,7598,7768,8052	6140,6491,6607,7522,7647,7907,9169
CBG24645.1	10717,11465	11315,12152
CBG26726.1	2302,3831	3479,4386
CBG24687.1	7941	7983
CBG24690.1	16608,16907,17062,17482	16686,16954,17103,17745
CBG24693.1	29409	29457
CBG26738.1	872	982
CBG26741.1	33047,33242,33450,33658,34391	33103,33290,33504,34276,34469
CBG24697.1	10511,10728,10866,11804	10555,10775,11648,11851
CBG24698a.1	14243,15089,15563,16187,16561,17019,18054	15014,15408,16056,16431,16857,17911,19029
CBG24698b.1	14243,15095,15563,16187,16561,17019,18054	15014,15408,16056,16431,16857,17911,19029
CBG29782.1	2844	3452
CBG24705.1	87,310	129,355
CBG24706.1	3407,3573,3715,3909,4196,4338	3450,3616,3760,3955,4243,4449
CBG24710.1	11499,11698,12706,12845,13252,15069	11546,12456,12750,13055,14867,15117
CBG24711.1	17076,17321,17890,18688,18828,19109,19310,19469,19633	17123,17774,18476,18733,18874,19161,19355,19516,19671
CBG24712.1	20729,20926,21142	20775,20970,21525
CBG24713.1	23178	23804
CBG29783.1	9214,10019,10836	9265,10796,10837
CBG24720.1	667,799,4952,5107,5241,5517	712,4429,4995,5150,5290,5561
CBG24721.1	6210,6330	6275,6568
CBG24724.1	22689,22826,23053	22739,22915,23094
CBG29784.1	18930,19559,20242	19019,19600,20285
CBG29785.1	11336,11469,12143,12281,12456,12685	11382,11509,12190,12412,12501,12729
CBG29786.1	13681,13814,14492,14630,14723	13727,13858,14539,14679,14764
CBG24726.1	11554	11694
CBG24727.1	13322,14149,14342	13722,14194,14391
CBG26746.1	16433,16624	16479,16672
CBG30921.1	5807,6104	5921,8609
CBG24730.1	191,1111,1368,1487,3620	1065,1254,1419,3294,4376
CBG24731.1	8832,10400,10520,11222,11408,12226	10132,10401,11023,11266,12079,12364
CBG24732.1	13143,13357,14384,15388,15518,16237,16510,17347,17740	13241,14149,15190,15433,16146,16284,17085,17433,19315
CBG24737.1	3827,4691,5556,5738	4597,5360,5614,6954
CBG25156.1	16232,19133,19735	18961,19602,19778
CBG24747.1	563,759,1070,1287,2213,2489,2646	654,1036,1071,2012,2396,2533,3753
CBG24749.1	9901,10105,10453,10743,11594,11748,12099,15254,15539,15719	9941,10350,10593,11378,11648,11799,15081,15474,15594,15891
CBG24758.1	1386,1956,3010	1701,2557,3055
CBG24761.1	8729,8957,9467	8774,9003,9984
CBG26750.1	11682,11765,11827,14036,14136	11729,11766,13929,14091,14137
CBG24769.1	2264,2645,3492	2308,2694,3535
CBG24770a.1	4804,4994,5335,5747,5961,6745,7573,7881,8240,8415,8613,8809	4864,5083,5382,5795,6012,6793,7699,8143,8283,8464,8661,11693
CBG24770b.1	4396,5335,5747,5961,6745,7573,7881,8240,8415,8613,8809	5083,5382,5795,6012,6793,7699,8143,8283,8464,8661,11693
CBG24772.1	311,658,831,1108,1221	374,701,877,1154,1266
CBG24773.1	2396,2532,2683	2440,2578,2728
CBG24774.1	3038,3177,3322,3410	3081,3227,3323,3460
CBG24775.1	3832,4219	3883,4260
CBG24776.1	4724,5014	4774,5057
CBG24777a.1	6152,6346,6635,6857,7040	6197,6389,6681,6905,7091
CBG24777b.1	6152,6346,6641,6857,7040	6197,6389,6681,6905,7091
CBG24778.1	7747,8186	7791,8239
CBG24779.1	9552,9900	9596,9950
CBG24780.1	10820,11127,11967	10865,11173,12012
CBG24784.1	734,1535,1815,2382,2570	779,1578,1867,2428,2619
CBG24785.1	3097,3203,3436,3624,3783,4372	3143,3249,3479,3673,4143,4590
